Epoch 66 - Train Loss: 3.5578 (vdw: 1.1876, elec: 1.0775, solv: 0.0975, hbond: 1.1952) | Validation Loss: 4.0782 (vdw: 1.5069, elec: 1.3171, solv: 0.1100, hbond: 1.1443) | LR: 7.8e-06
Epoch 67 - Train Loss: 3.4191 (vdw: 1.1318, elec: 1.0323, solv: 0.0933, hbond: 1.1617) | Validation Loss: 3.9621 (vdw: 1.4911, elec: 1.2325, solv: 0.1066, hbond: 1.1320) | LR: 7.8e-06
Epoch 68 - Train Loss: 3.4549 (vdw: 1.1407, elec: 1.0249, solv: 0.0967, hbond: 1.1925) | Validation Loss: 3.9246 (vdw: 1.5014, elec: 1.2781, solv: 0.1072, hbond: 1.0379) | LR: 7.8e-06
Epoch 69 - Train Loss: 3.4783 (vdw: 1.1112, elec: 1.0394, solv: 0.0960, hbond: 1.2317) | Validation Loss: 4.1792 (vdw: 1.6882, elec: 1.3219, solv: 0.1046, hbond: 1.0646) | LR: 7.8e-06
Epoch 70 - Train Loss: 3.2392 (vdw: 1.0585, elec: 1.0005, solv: 0.0954, hbond: 1.0849) | Validation Loss: 4.4634 (vdw: 1.2734, elec: 1.2943, solv: 0.1081, hbond: 1.7875) | LR: 7.8e-06
Epoch 71 - Train Loss: 3.1172 (vdw: 1.1548, elec: 1.0308, solv: 0.0923, hbond: 0.8393) | Validation Loss: 3.7965 (vdw: 1.6054, elec: 1.3366, solv: 0.1097, hbond: 0.7449) | LR: 7.8e-06
Epoch 72 - Train Loss: 3.5564 (vdw: 0.9662, elec: 0.9977, solv: 0.0928, hbond: 1.4997) | Validation Loss: 3.7136 (vdw: 1.6241, elec: 1.3313, solv: 0.1063, hbond: 0.6519) | LR: 3.9e-06
Epoch 73 - Train Loss: 3.4948 (vdw: 1.0508, elec: 1.0079, solv: 0.0963, hbond: 1.3397) | Validation Loss: 3.7445 (vdw: 1.1368, elec: 1.2643, solv: 0.1071, hbond: 1.2363) | LR: 3.9e-06
Epoch 74 - Train Loss: 3.2751 (vdw: 1.0963, elec: 0.9927, solv: 0.0904, hbond: 1.0957) | Validation Loss: 3.9482 (vdw: 1.5972, elec: 1.2776, solv: 0.1086, hbond: 0.9647) | LR: 3.9e-06
Epoch 75 - Train Loss: 3.3738 (vdw: 1.2014, elec: 1.0536, solv: 0.0917, hbond: 1.0271) | Validation Loss: 4.5498 (vdw: 1.5556, elec: 1.2564, solv: 0.1068, hbond: 1.6310) | LR: 3.9e-06
Epoch 76 - Train Loss: 3.0726 (vdw: 1.0020, elec: 0.9637, solv: 0.0941, hbond: 1.0127) | Validation Loss: 3.9858 (vdw: 1.3867, elec: 1.2309, solv: 0.1051, hbond: 1.2630) | LR: 3.9e-06
Epoch 77 - Train Loss: 3.4535 (vdw: 1.1657, elec: 1.0638, solv: 0.0976, hbond: 1.1264) | Validation Loss: 4.1959 (vdw: 1.5652, elec: 1.3559, solv: 0.1088, hbond: 1.1660) | LR: 3.9e-06
Epoch 78 - Train Loss: 3.4962 (vdw: 1.0381, elec: 0.9925, solv: 0.0902, hbond: 1.3754) | Validation Loss: 5.5074 (vdw: 1.8445, elec: 1.2475, solv: 0.1063, hbond: 2.3090) | LR: 2.0e-06
