Epoch 52 - Train Loss: 1.4016 (enthalpy: 0.8836, entropy: 0.0317, affinity: 0.0363, rank: 0.4500) | Validation Loss: 0.9250 (enthalpy: 0.0411, entropy: 0.0264, affinity: 0.1036, rank: 0.7539) | LR: 1.3e-05
Epoch 53 - Train Loss: 1.6287 (enthalpy: 1.1065, entropy: 0.0308, affinity: 0.0290, rank: 0.4624) | Validation Loss: 0.9243 (enthalpy: 0.0411, entropy: 0.0251, affinity: 0.1052, rank: 0.7529) | LR: 1.3e-05
Epoch 54 - Train Loss: 1.1629 (enthalpy: 0.6598, entropy: 0.0305, affinity: 0.0292, rank: 0.4434) | Validation Loss: 0.9233 (enthalpy: 0.0411, entropy: 0.0277, affinity: 0.1031, rank: 0.7514) | LR: 1.3e-05
Epoch 55 - Train Loss: 2.0582 (enthalpy: 1.5581, entropy: 0.0298, affinity: 0.0290, rank: 0.4414) | Validation Loss: 0.9009 (enthalpy: 0.0410, entropy: 0.0281, affinity: 0.1025, rank: 0.7294) | LR: 1.3e-05
Epoch 56 - Train Loss: 1.9725 (enthalpy: 1.4392, entropy: 0.0291, affinity: 0.0246, rank: 0.4796) | Validation Loss: 0.9164 (enthalpy: 0.0410, entropy: 0.0268, affinity: 0.1028, rank: 0.7457) | LR: 1.3e-05
Epoch 57 - Train Loss: 1.6045 (enthalpy: 1.0350, entropy: 0.0280, affinity: 0.0344, rank: 0.5071) | Validation Loss: 0.9059 (enthalpy: 0.0409, entropy: 0.0282, affinity: 0.1008, rank: 0.7360) | LR: 6.3e-06
Epoch 58 - Train Loss: 2.3590 (enthalpy: 1.8237, entropy: 0.0291, affinity: 0.0300, rank: 0.4761) | Validation Loss: 0.9053 (enthalpy: 0.0410, entropy: 0.0262, affinity: 0.1028, rank: 0.7353) | LR: 6.3e-06
Epoch 59 - Train Loss: 1.7803 (enthalpy: 1.2292, entropy: 0.0304, affinity: 0.0269, rank: 0.4937) | Validation Loss: 0.9055 (enthalpy: 0.0410, entropy: 0.0273, affinity: 0.1017, rank: 0.7355) | LR: 6.3e-06
Epoch 60 - Train Loss: 1.3327 (enthalpy: 0.8553, entropy: 0.0303, affinity: 0.0254, rank: 0.4217) | Validation Loss: 0.9190 (enthalpy: 0.0410, entropy: 0.0282, affinity: 0.1017, rank: 0.7482) | LR: 6.3e-06
Epoch 61 - Train Loss: 1.2226 (enthalpy: 0.6826, entropy: 0.0292, affinity: 0.0395, rank: 0.4713) | Validation Loss: 0.9168 (enthalpy: 0.0410, entropy: 0.0268, affinity: 0.1022, rank: 0.7468) | LR: 6.3e-06
